IDENTIFIANT,NOM,PRENOM,DATE NAISSANCE,CLASSE
SMKI6600,IMMEUBLE,Sylvie,10-mai-07,6C
JMSJ7347,JULIAN,Gautier,10-juin-08,6C
VMWL6764,LACIRE,Vincent,11-mai-07,6C
FJOB6070,BOUSLAH,Fabien,13-mai-07,6C
MYJJ7555,JOLIBOIS,Michele,19-mai-07,6B
JMSJ5333,FERNANDES,Marie-Thérèse,30-mai-07,6B
CLBK6766,KAC,Christine,2-mai-07,6B
BVSG6132,AGONDOUIN,Bernard,14-févr.-06,6B
JNPH5204,HERMANT,Jean-Pierre,18-nov.-07,6A
SOYI7625,ILARDO,Sylvie,15-mai-06,6A
JMSJ7146,JULIENSE,Matthieu,19-déc.-07,6A
CPJL6502,LADD,Claude,8-nov.-07,6A
FBBG8352,GUITTON,Francis,27-avr.-06,5C
JMSL4414,BLAFORET,Hubert,28-mars-06,5C
EUUB6671,BINET,Emmanuel,22-août-06,5C
JMSE5573,EGREVE,Jean-René,14-janv.-05,5C
CGIB8632,OBRELEUR,Christophe,24-déc.-05,5B
APBG6032,GIRARD,André,20-janv.-06,5B
JMSL5641,LANDON,Marie-Odile,27-juil.-05,5B
GADC8337,COBHEN,Gaylor,3-févr.-06,5B
CYVC6773,CYMBALIST,Christophe,24-avr.-05,5A
DNJG6516,GEIL,Dominique,5-mai-06,5A
NIDL5751,LE LOCH,Nicole,1-mars-06,5A
GSCB5064,BLANC,Giséle,16-févr.-05,5A
GDMB5034,BOUZCKAR,Ghislaine,26-juil.-05,4B
JMSC6372,CERCOTTE,Marie-Isabelle,14-oct.-04,4B
SNDL8075,LEGRAND,Stéphane,9-févr.-04,4B
PGBL6442,CLEMAIRE,Philippe,17-août-05,4B
JMSP8176,DORLEANS,Jérémie,26-sept.-05,4B
MISB6160,BOUCHET,Micheline,19-déc.-04,4B
JMSF5047,FREYSSINET,Jean-José,20-juil.-05,4B
JMSF8440,DUMONT,Ludovic,25-avr.-05,4B
JMSF8414,FREYSSINET,Maud,29-oct.-06,4A
JQAB5530,BARNAUD,Janine,22-oct.-05,4A
JTNA6125,PANGONIN,Jean-Pierre,18-sept.-05,4A
JMSL5165,JOLIBOIS,Marie-Anne,3-avr.-05,4A
JMSD4700,DORLEANS,François-Xavier,26-sept.-05,4A
MJXA6545,AZRIA,Maryse,21-janv.-05,4A
GTAB6410,BOVERO,Gilbert,25-nov.-06,4A
JUJA7577,ABSCHEN,Jean,10-nov.-05,4A
MROB4443,BIDAULT,Marie-Reine,25-juin-04,4A
MYSC6155,COUDERC,Marie-Louise,12-août-04,3B
MMQG6731,GENTIL,Michelle,16-févr.-04,3B
MVOC5020,CRIÉ,Michel,17-janv.-04,3B
NGEC6534,CHI,Nicole,31-mars-04,3B
OQFG7421,GORZINSKY,Odette,23-juil.-04,3B
PQWB6377,BENSIMHON,Pascal,28-août-04,3B
VYKA6766,ZAMELLAL,Viviane,19-mai-03,3B
MXXG5021,GUELT,Monique,15-juil.-04,3A
OKVB8647,BOUDART,Orianne,27-mai-03,3A
PJGF6611,FALZON,Patricia,6-nov.-04,3A
DBSL6400,HERMANT,Denise,3-déc.-04,3A
PMFB7433,BOULLICAUD,Paul,28-oct.-05,3A
NIAF7617,FOURNOL,Nathalie,25-oct.-04,3A
PAUL6237,EMILE-VICTOR,Paul,3-sept.-04,3A
SOWF5545,FERNANDES,Yves,31-oct.-03,3A
YSPF6735,FERNANDEZ,Yvette,3-avr.-03,3A
