IDENTIFIANT,NOM,PRENOM,DATE NAISSANCE,CLASSE
CYVC6773,CYMBALIST,Christophe,24 avr. 2005,6C
DEOF6271,FEBVRE,Denis,21 juin 2006,6C
FBBG8352,GUITTON,Francis,27 avr. 2006,6C
CGIB8632,OBRELEUR,Christophe,24 déc. 2005,6B
DNJG6516,GEIL,Dominique,5 mai 2006,6B
FJOB6070,BOUSLAH,Fabien,13 mai 2007,6B
APBG6032,GIRARD,André,20 janv. 2006,6A
BVSG6132,AGONDOUIN,Bernard,14 févr. 2006,6A
EUUB6671,BINET,Emmanuel,22 août 2006,6A
GADC8337,COBHEN,Gaylor,3 févr. 2006,6A
GSCB5064,BLANC,Giséle,16 févr. 2005,5C
JMSE5573,EGREVE,Jean-René,14 janv. 2005,5C
JMSF8414,FREYSSINET,Maud,29 oct. 2006,5C
JQAB5530,BARNAUD,Janine,22 oct. 2005,5C
JTNA6125,PANGONIN,Jean-Pierre,18 sept. 2005,5C
GDMB5034,BOUZCKAR,Ghislaine,26 juil. 2005,5B
JMSC6372,CERCOTTE,Marie-Isabelle,14 oct. 2004,5B
JMSD4700,DORLEANS,François-Xavier,26 sept. 2005,5B
JMSP8176,DORLEANS,Jérémie,26 sept. 2005,5B
MISB6160,BOUCHET,Micheline,19 déc. 2004,5B
MJXA6545,AZRIA,Maryse,21 janv. 2005,5B
GTAB6410,BOVERO,Gilbert,25 nov. 2006,5A
GYPB5625,BLANCHOT,Guy,31 mai 2005,5A
JMSF5047,FREYSSINET,Jean-José,20 juil. 2005,5A
JMSF8440,DUMONT,Ludovic,25 avr. 2005,5A
JUJA7577,ABSCHEN,Jean,10 nov. 2005,5A
MROB4443,BIDAULT,Marie-Reine,25 juin 2004,4B
MWCA6264,AZOURA,Marie-France,11 avr. 2003,4B
MXXG5021,GUELT,Monique,15 juil. 2004,4B
MYSC6155,COUDERC,Marie-Louise,12 août 2004,4B
OKVB8647,BOUDART,Orianne,27 mai 2003,4B
PJGF6611,FALZON,Patricia,6 nov. 2004,4B
PMFB7433,BOULLICAUD,Paul,28 oct. 2005,4B
MMQG6731,GENTIL,Michelle,16 févr. 2004,4A
MSWF6234,FAUCHEUX,Michel,26 févr. 2005,4A
MVOC5020,CRIÉ,Michel,17 janv. 2004,4A
NGEC6534,CHI,Nicole,31 mars 2004,4A
NIAF7617,FOURNOL,Nathalie,25 oct. 2004,4A
OQFG7421,GORZINSKY,Odette,23 juil. 2004,4A
PAUL6237,EMILE-VICTOR,Paul,3 sept. 2004,4A
PQWB6377,BENSIMHON,Pascal,28 août 2004,4A
RYGB6744,BERTRAND,Roger,10 janv. 2003,3B
SDSF8642,FERRAND,Sophie,11 juil. 2002,3B
SLJB6306,BACH,Sylvie,19 janv. 2003,3B
SOWF5545,FERNANDES,Yves,31 oct. 2003,3B
VVJC6063,CHICHE,Vincent,6 oct. 2003,3B
RJND6600,DESTAIN,Roseline,26 févr. 2003,3A
SBCF6227,FITOUSSI,Samuel,16 avr. 2003,3A
SDDF6635,FILLEAU,Sylvie,15 déc. 2004,3A
SPRD5631,DUPRÉ,Sophie,25 sept. 2003,3A
STWA6754,ADAMO,Stéphane,15 déc. 2002,3A
VYKA6766,ZAMELLAL,Viviane,19 mai 2003,3A
YSPF6735,FERNANDEZ,Yvette,3 avr. 2003,3A
